Yard Code,Species Code,Species Latin,Sampled area (m) ,Sampled Area (ha),DBH(cm) ,DBH Round,Presence of hedge ,basal,Index,,,,,,,,,,,,,,,,,,,,,,,,
Y1,ACPL,Acer Platanoides,210,0.021,16.2,16,yes,0.020612038,1,,,,,,,,,,,,,,,,,,,,,,,Sum of Sampled Area (ha),Sum of basal
Y1,ACPL,Acer Platanoides,210,0.021,21.3,21,yes,0.035632813,2,,,,,,,,,,,,,,,,,,,,,,Y1,0.483,0.171646028
Y1,ACPL,Acer Platanoides,210,0.021,14,14,yes,0.01539384,3,,,,,,,,,,,,,,,,,,,,,,Y10,0.136,0.129338887
Y1,SYVU,Syringa Vulgaris,210,0.021,15.8,16,yes,0.019606726,23,,,,,,,,,,,,,,,,,,,,,,Y28,0.296,0.750928794
Y1,SYVU,Syngria Vulgaris,210,0.021,15.8,16,yes,0.019606726,24,,,,,,,,,,,,,,,,,,,,,,Y29,0.378,0.31636933
Y2,ACPL,Acer Platanoides,340,0.034,17.5,18,no,0.024052875,25,,,,,,,,,,,,,,,,,,,,,,Y3,0.06,0.03231921
Y2,ACNE,Acer Negundo,340,0.034,35,35,no,0.0962115,26,,,,,,,,,,,,,,,,,,,,,,Y30,0.028,0.024052875
Y2,ACPL,Acer Platanoides,340,0.034,41.1,41,no,0.132670553,27,,,,,,,,,,,,,,,,,,,,,,Y31,0.126,0.381065084
Y2,THOC,Thuja Occidentalis,340,0.034,10.6,11,no,0.008824754,28,,,,,,,,,,,,,,,,,,,,,,,,
Y3,QURO,Quercas Robur,150,0.015,9.2,9,no,0.006647626,29,,,,,,,,,,,,,,,,,,,,,,Y33,0.432,1.947901956
Y3,SYRE,Syringa Reticulata,150,0.015,12.6,13,no,0.01246901,30,,,,,,,,,,,,,,,,,,,,,,Y34,0.036,0.460056689
Y3,PRVI,Prunus Virginiana,150,0.015,11.1,11,no,0.009676913,31,,,,,,,,,,,,,,,,,,,,,,Y35,0.09,0.371823283
Y3,THOC,Thuja Occidentalis,150,0.015,6.7,7,no,0.003525661,32,,,,,,,,,,,,,,,,,,,,,,,,
Y4,ACNE,Acer Negundo,250,0.025,42,42,no,0.13854456,33,,,,,,,,,,,,,,,,,,,,,,Y37,0.024,0.268076655
Y4,ACNE,Acer Negundo,250,0.025,30.6,31,no,0.073541714,34,,,,,,,,,,,,,,,,,,,,,,Y4,0.1,0.217945358
Y4,ACPA,Acer Palmatum,250,0.025,6.4,6,no,0.003216998,35,,,,,,,,,,,,,,,,,,,,,,Y40,1.05,1.653199456
Y4,PHCO,Philadelphus Coronarius,250,0.025,5.8,6,no,0.002642086,36,,,,,,,,,,,,,,,,,,,,,,Y42,0.032,4.218183123
Y5,ACPL,Acer Platanoides,260,0.026,57,57,yes,0.25517646,37,,,,,,,,,,,,,,,,,,,,,,Y43,0.09,0.756344127
Y5,EUAT,Euonymus Atropurpureus,260,0.026,16.4,16,yes,0.021124118,38,,,,,,,,,,,,,,,,,,,,,,Y44,0.054,0.846266144
Y5,ABBA,Abies Balsamea,260,0.026,16.5,17,yes,0.021382515,41,,,,,,,,,,,,,,,,,,,,,,Y47,0.234,0.388366948
Y5,PNST,Pinus Strobus,260,0.026,59.3,59,yes,0.276185125,42,,,,,,,,,,,,,,,,,,,,,,Y48,0.119,0.644137171
Y5,BEPO,Betula Populifolia,260,0.026,24.4,24,yes,0.046759574,43,,,,,,,,,,,,,,,,,,,,,,Y49,0.007,0.340049926
Y5,AMCA,Amelanchier Canadensis,260,0.026,4.6,5,yes,0.001661906,44,,,,,,,,,,,,,,,,,,,,,,Y5,0.234,0.706838009
Y5,ABBA,Abies Balsamea,260,0.026,8.1,8,yes,0.005153009,45,,,,,,,,,,,,,,,,,,,,,,Y50,0.144,1.237559492
Y6,SYVU,Syngria Vulgaris,350,0.035,11.5,12,yes,0.010386915,54,,,,,,,,,,,,,,,,,,,,,,Y59,0.025,0.002123722
Y6,SYVU,Syngria Vulgaris,350,0.035,15.7,16,yes,0.019359325,55,,,,,,,,,,,,,,,,,,,,,,Y6,0.35,0.546793909
Y8,ACPL,Acer Platanoides,160,0.016,26.1,26,yes,0.053502233,56,,,,,,,,,,,,,,,,,,,,,,Y60,0.266,1.846216218
Y8,TICO,TIlia Cordata,160,0.016,8.3,8,yes,0.005410621,57,,,,,,,,,,,,,,,,,,,,,,Y61,0.3,0.306551045
Y8,SYVU,Syringa Vulgaris,160,0.016,35.7,36,yes,0.100098445,58,,,,,,,,,,,,,,,,,,,,,,Y62,0.357,2.275258247
Y9,ACPL,Acer Platanoides,130,0.013,43.1,43,no,0.145896689,62,,,,,,,,,,,,,,,,,,,,,,Y66,0.253,0.967337125
Y9,ACPA,Acer Palmatum,130,0.013,10.6,11,no,0.008824754,63,,,,,,,,,,,,,,,,,,,,,,Y67,0.126,1.538016619
Y9,THOC,Thuja Occidentalis,130,0.013,7.9,8,no,0.004901681,64,,,,,,,,,,,,,,,,,,,,,,,,
Y10,PYCO,Pyrus Communis,340,0.034,16.6,17,no,0.021642482,65,,,,,,,,,,,,,,,,,,,,,,Y69,0.22,1.053013269
Y10,ULAM,Ulmus Americana,340,0.034,33.3,33,no,0.087092221,66,,,,,,,,,,,,,,,,,,,,,,Y70,0.03,0.017203402
Y10,MADO,Malus Domestica,340,0.034,12.5,13,no,0.012271875,67,,,,,,,,,,,,,,,,,,,,,,Y71,0.851,1.023606322
Y10,SYVU,Syringa Vulgaris,340,0.034,10.3,10,no,0.008332309,68,,,,,,,,,,,,,,,,,,,,,,Y72,0.045,0.10259366
Y11,QUAL,Quercus Alba,350,0.035,18.5,19,no,0.026880315,69,,,,,,,,,,,,,,,,,,,,,,Y73,0.231,1.003056331
Y11,PIGL,Picea Glauca,350,0.035,16.2,16,no,0.020612038,70,,,,,,,,,,,,,,,,,,,,,,Y74,0.638,0.620414949
Y11,ABBA,Abies Balsamea,350,0.035,16.7,17,no,0.021904021,71,,,,,,,,,,,,,,,,,,,,,,Y75,0.21,0.313333759
Y11,PRAV,Prunus Pensylvanica,350,0.035,29.8,30,no,0.069746662,73,,,,,,,,,,,,,,,,,,,,,,Y76,0.14,0.078635819
Y11,SADI,Salix Discolor,350,0.035,70,70,no,0.384846,74,,,,,,,,,,,,,,,,,,,,,,Y77,0.026,0.16738759
Y11,LITU,Liriodendron Tulipifera,350,0.035,5.4,5,no,0.002290226,75,,,,,,,,,,,,,,,,,,,,,,Y78,0.222,0.517302139
Y11,BENI,Betula Nigra,350,0.035,4.5,5,no,0.001590435,76,,,,,,,,,,,,,,,,,,,,,,Y79,0.105,0.851252648
Y11,THOC,Thuja Occidentalis,350,0.035,7.1,7,no,0.003959201,77,,,,,,,,,,,,,,,,,,,,,,,,
Y11,THOC,Thuja Occidentalis,350,0.035,5.7,6,no,0.002551765,78,,,,,,,,,,,,,,,,,,,,,,,,
Y11,PIAB,Picea Abies,350,0.035,17.3,17,no,0.023506237,79,,,,,,,,,,,,,,,,,,,,,,Y81,0.924,2.001880142
Y12,AMLA,Amelanchier Laevis,140,0.014,24.8,25,no,0.048305242,80,,,,,,,,,,,,,,,,,,,,,,Y82,0.615,0.546811188
Y12,SYVU,Syringa Vulgaris,140,0.014,21.6,22,no,0.036643622,81,,,,,,,,,,,,,,,,,,,,,,Y83,1.833,0.871583513
Y12,SYVU,Syringa Vulgaris,140,0.014,10.8,11,no,0.009160906,82,,,,,,,,,,,,,,,,,,,,,,Y84,0.104,0.20690342
Y12,SYVU,Syringa Vulgaris,140,0.014,11.5,12,no,0.010386915,83,,,,,,,,,,,,,,,,,,,,,,Y85,0.128,0.2249095
Y12,TACA,Taxus Canadensis,140,0.014,13.9,14,no,0.015174713,84,,,,,,,,,,,,,,,,,,,,,,Y86,0.06,0.150646789
Y12,TACA,Taxus Canadensis,140,0.014,7.3,7,no,0.004185397,85,,,,,,,,,,,,,,,,,,,,,,Y87,0.011,0.379367835
Y12,TACA,Taxus Canadensis,140,0.014,8.2,8,no,0.00528103,86,,,,,,,,,,,,,,,,,,,,,,Y88,0.588,2.130827114
Y12,TACA,Taxus Canadensis,140,0.014,7.2,7,no,0.004071514,87,,,,,,,,,,,,,,,,,,,,,,Y89,0.116,0.910688579
Y12,THOC,Thuja Occidentalis,140,0.014,6.3,6,no,0.003117253,88,,,,,,,,,,,,,,,,,,,,,,,,
Y12,ACPL,Acer Platanoides,140,0.014,25.3,25,no,0.050272669,89,,,,,,,,,,,,,,,,,,,,,,Y90,0.028,0.039267644
Y13,CHNO,Chamaecyparis Nootkatensis,360,0.036,12.1,12,yes,0.011499041,90,,,,,,,,,,,,,,,,,,,,,,Y91,1.521,2.460640921
Y13,RHTY,Rhus Typhina,360,0.036,17.9,18,yes,0.025165001,92,,,,,,,,,,,,,,,,,,,,,,Y93,0.124,0.355223068
Y13,CTCO,Cotinus Coggygria,360,0.036,20.6,21,yes,0.033329234,94,,,,,,,,,,,,,,,,,,,,,,,,
Y13,SYVU,Syngria Vulgaris,360,0.036,5.3,5,yes,0.002206189,99,,,,,,,,,,,,,,,,,,,,,,,,
Y13,LIAM,Linnaea Amabilis,360,0.036,13.8,14,yes,0.014957158,100,,,,,,,,,,,,,,,,,,,,,,,,
Y13,RHTY,Rhus Typhina,360,0.036,7.6,8,yes,0.00453647,101,,,,,,,,,,,,,,,,,,,,,,,,
Y14,ACNE,Acer Negundo,120,0.012,29,29,no,0.06605214,102,,,,,,,,,,,,,,,,,,,,,,,,
Y15,ACSA,Acer Saccharinum,260,0.026,108.2,108,yes,0.91948663,103,,,,,,,,,,,,,,,,,,,,,,,,
Y15,HYPA,Hydrangea Paniculata,260,0.026,11.7,12,yes,0.010751341,104,,,,,,,,,,,,,,,,,,,,,,,,
Y15,SYVU,Syngria Vulgaris,260,0.026,46,46,yes,0.16619064,109,,,,,,,,,,,,,,,,,,,,,,,,
Y16,QUMA,Quercus Macrocarpa,220,0.022,60.6,61,no,0.288427154,110,,,,,,,,,,,,,,,,,,,,,,,,
Y16,ACPL,Acer Platanoides,220,0.022,63.1,63,no,0.312715649,111,,,,,,,,,,,,,,,,,,,,,,,,
Y16,ACFR,Acer Freemannii,220,0.022,71.6,72,no,0.402640022,112,,,,,,,,,,,,,,,,,,,,,,,,
Y16,PIPU,Picea Pungens,220,0.022,43.7,44,no,0.149987053,113,,,,,,,,,,,,,,,,,,,,,,,,
Y17,PIAB,Picea Abies,450,0.045,15.8,16,no,0.019606726,114,,,,,,,,,,,,,,,,,,,,,,,,
Y17,PIAB,Picea Abies,450,0.045,15.6,16,no,0.019113494,115,,,,,,,,,,,,,,,,,,,,,,,,
Y17,PIAB,Picea Abies,450,0.045,24.5,25,no,0.047143635,116,,,,,,,,,,,,,,,,,,,,,,,,
Y17,PIAB,Picea Abies,450,0.045,21.5,22,no,0.036305115,117,,,,,,,,,,,,,,,,,,,,,,,,
Y17,PIAB,Picea Abies,450,0.045,17.2,17,no,0.023235274,118,,,,,,,,,,,,,,,,,,,,,,,,
Y17,ACFR,Acer Freemannii,450,0.045,55.9,56,no,0.245422577,119,,,,,,,,,,,,,,,,,,,,,,,,
Y17,ACPL,Acer Platanoides,450,0.045,35,35,no,0.0962115,120,,,,,,,,,,,,,,,,,,,,,,,,
Y17,ACPL,Acer Platanoides,450,0.045,14.3,14,no,0.016060645,121,,,,,,,,,,,,,,,,,,,,,,,,
Y17,PHCO,Philadelphus Coronarius,450,0.045,11.2,11,no,0.009852058,122,,,,,,,,,,,,,,,,,,,,,,,,
Y18,FRPE,Fraxinus Pennsylvanica,230,0.023,44.9,45,no,0.158337425,123,,,,,,,,,,,,,,,,,,,,,,,,
Y18,ULAM,Ulmus Americana,230,0.023,49,49,no,0.18857454,124,,,,,,,,,,,,,,,,,,,,,,,,
Y18,FRPE,Fraxinus Pennsylvanica,230,0.023,76.2,76,no,0.456037798,125,,,,,,,,,,,,,,,,,,,,,,,,
Y19,PIAB,Picea Abies,410,0.041,41.1,41,no,0.132670553,126,,,,,,,,,,,,,,,,,,,,,,,,
Y19,THOC,Thuja Occidentalis,410,0.041,91.7,92,no,0.660434221,127,,,,,,,,,,,,,,,,,,,,,,,,
Y19,THOC,Thuja Occidentalis,410,0.041,43.9,44,no,0.151363073,128,,,,,,,,,,,,,,,,,,,,,,,,
Y19,MGXXSO,Magnolia x Soulangeana,410,0.041,6.7,7,no,0.003525661,129,,,,,,,,,,,,,,,,,,,,,,,,
Y19,CTCO,Cotinus Coggygria,410,0.041,19.8,20,no,0.030790822,130,,,,,,,,,,,,,,,,,,,,,,,,
Y20,PNST,Pinus Strobus,450,0.045,57.6,58,no,0.26057687,131,,,,,,,,,,,,,,,,,,,,,,,,
Y20,PIRU,Picea Rubens,450,0.045,30.7,31,no,0.074023165,132,,,,,,,,,,,,,,,,,,,,,,,,
Y20,EUAL,Euonymous Alatus,450,0.045,31.3,31,no,0.076944853,133,,,,,,,,,,,,,,,,,,,,,,,,
Y20,THOC,Thuja Occidentalis,450,0.045,33.1,33,no,0.086049209,134,,,,,,,,,,,,,,,,,,,,,,,,
Y20,THOC,Thuja Occidentalis,450,0.045,17,17,no,0.02269806,135,,,,,,,,,,,,,,,,,,,,,,,,
Y21,BEPA,Betula Papyrifera,280,0.028,74.3,74,no,0.433579285,136,,,,,,,,,,,,,,,,,,,,,,,,
Y21,ACPA,Acer Palmatum,280,0.028,5.3,5,no,0.002206189,137,,,,,,,,,,,,,,,,,,,,,,,,
Y22,PIAB,Picea Abies,390,0.039,56.6,57,no,0.251607602,138,,,,,,,,,,,,,,,,,,,,,,,,
Y22,THOC,Thuja Occidentalis,390,0.039,5.2,5,no,0.002123722,139,,,,,,,,,,,,,,,,,,,,,,,,
Y22,THOC,Thuja Occidentalis,390,0.039,7,7,no,0.00384846,140,,,,,,,,,,,,,,,,,,,,,,,,
Y23,BEPA,Betula Papyrifera,270,0.027,69,69,no,0.37392894,141,,,,,,,,,,,,,,,,,,,,,,,,
Y23,ACPA,Acer Palmatum,270,0.027,30.1,30,no,0.071158025,142,,,,,,,,,,,,,,,,,,,,,,,,
Y23,THOC,Thuja Occidentalis,270,0.027,8.3,8,no,0.005410621,143,,,,,,,,,,,,,,,,,,,,,,,,
Y23,THOC,Thuja Occidentalis,270,0.027,17.6,18,no,0.02432855,144,,,,,,,,,,,,,,,,,,,,,,,,
Y23,PIRU,Picea Rubens,270,0.027,19.1,19,no,0.028652177,145,,,,,,,,,,,,,,,,,,,,,,,,
Y24,CAAR,"Caragana Arborescens ""pendula""",270,0.027,6.35,6,yes,0.003166929,146,,,,,,,,,,,,,,,,,,,,,,,,
Y24,CTCO,"Cotinus ""Royal Purple""",270,0.027,5.1,5,yes,0.002042825,147,,,,,,,,,,,,,,,,,,,,,,,,
Y24,ACRU,Acer Rubrum,270,0.027,40.6,41,yes,0.129462194,151,,,,,,,,,,,,,,,,,,,,,,,,
Y24,ACRU,Acer Rubrum,270,0.027,33,33,yes,0.08553006,152,,,,,,,,,,,,,,,,,,,,,,,,
Y24,PRPA,Prunus Padus,270,0.027,12.7,13,yes,0.012667717,153,,,,,,,,,,,,,,,,,,,,,,,,
Y24,ACRU,Acer Rubrum,270,0.027,53.3,53,yes,0.223123501,157,,,,,,,,,,,,,,,,,,,,,,,,
Y24,ACSA,Acer Saccharinum,270,0.027,21.6,22,yes,0.036643622,161,,,,,,,,,,,,,,,,,,,,,,,,
Y24,ACSA,Acer Saccharinum,270,0.027,61,61,yes,0.29224734,162,,,,,,,,,,,,,,,,,,,,,,,,
Y24,ACSA,Acer Saccharinum,270,0.027,30.5,31,yes,0.073061835,163,,,,,,,,,,,,,,,,,,,,,,,,
Y24,PIAB,Picea Abies,270,0.027,66,66,yes,0.34212024,164,,,,,,,,,,,,,,,,,,,,,,,,
Y24,PRVISC,Prunus Virginiana 'Schubert',270,0.027,12.7,13,yes,0.012667717,165,,,,,,,,,,,,,,,,,,,,,,,,
Y25,SYRE,Syringa Reticulata,290,0.029,10.5,11,no,0.008659035,168,,,,,,,,,,,,,,,,,,,,,,,,
Y25,ACNE,Acer Negundo,290,0.029,13.4,13,no,0.014102642,169,,,,,,,,,,,,,,,,,,,,,,,,
Y25,CEOC,Celtis Occidentalis,290,0.029,8,8,no,0.00502656,170,,,,,,,,,,,,,,,,,,,,,,,,
Y26,THOC,Thuja Occidentalis,140,0.014,55.3,55,no,0.240182389,171,,,,,,,,,,,,,,,,,,,,,,,,
Y26,THOC,Thuja Occidentalis,140,0.014,17.8,18,no,0.024884614,172,,,,,,,,,,,,,,,,,,,,,,,,
Y27,PRCR,Prunus Cerasus 'Montmorency',250,0.025,22.8,23,no,0.040828234,173,,,,,,,,,,,,,,,,,,,,,,,,
Y27,SYVU,Syringa Vulgaris,250,0.025,7.5,8,no,0.004417875,174,,,,,,,,,,,,,,,,,,,,,,,,
Y27,PIPU,Picea Pungens,250,0.025,31.2,31,no,0.076453978,175,,,,,,,,,,,,,,,,,,,,,,,,
Y27,PIPU,Picea Pungens,250,0.025,54.4,54,no,0.232428134,176,,,,,,,,,,,,,,,,,,,,,,,,
Y27,AMCA,Amelanchier Canadensis,250,0.025,23.2,23,no,0.04227337,177,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACPL,Acer Platanoides,370,0.037,30.8,31,no,0.074506186,178,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACPL,Acer Platanoides,370,0.037,31.4,31,no,0.077437298,179,,,,,,,,,,,,,,,,,,,,,,,,
Y28,PIGL,Picea Glauca,370,0.037,35,35,no,0.0962115,180,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACPL,Acer Platanoides,370,0.037,14,14,no,0.01539384,181,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACPL,Acer Platanoides,370,0.037,32.2,32,no,0.081433414,182,,,,,,,,,,,,,,,,,,,,,,,,
Y28,FRAM,Fraxinus Americana,370,0.037,62.1,62,no,0.302882441,183,,,,,,,,,,,,,,,,,,,,,,,,
Y28,ACSA,Acer Saccharinum,370,0.037,32.3,32,no,0.081939997,184,,,,,,,,,,,,,,,,,,,,,,,,
Y28,TACA,Taxus Canadensis,370,0.037,16.4,16,no,0.021124118,185,,,,,,,,,,,,,,,,,,,,,,,,
Y29,PIRU,Picea Rubens,420,0.042,57.1,57,yes,0.256072601,186,,,,,,,,,,,,,,,,,,,,,,,,
Y29,RHTY,Rhus Typhina,420,0.042,7.6,8,yes,0.00453647,187,,,,,,,,,,,,,,,,,,,,,,,,
Y29,JUCO,Juniperus Communis,420,0.042,7.7,8,yes,0.004656637,189,,,,,,,,,,,,,,,,,,,,,,,,
Y29,MGXXSN,Magnolia x Sunsation ,420,0.042,16.7,17,yes,0.021904021,190,,,,,,,,,,,,,,,,,,,,,,,,
Y29,TACA,Taxus Canadensis,420,0.042,6.4,6,yes,0.003216998,193,,,,,,,,,,,,,,,,,,,,,,,,
Y29,TACA,Taxus Canadensis,420,0.042,6.5,7,yes,0.003318315,194,,,,,,,,,,,,,,,,,,,,,,,,
Y30,MOAL,Morus Alba,280,0.028,17.5,18,no,0.024052875,195,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,40.4,40,no,0.128189846,196,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,17.4,17,no,0.02377877,197,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,7.3,7,no,0.004185397,198,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,30.7,31,no,0.074023165,199,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,17,17,no,0.02269806,200,,,,,,,,,,,,,,,,,,,,,,,,
Y31,ACPL,Acer Platanoides,210,0.021,40.4,40,no,0.128189846,201,,,,,,,,,,,,,,,,,,,,,,,,
Y32,MASY,Malus Sylvestris,230,0.023,36.4,36,yes,0.104062358,202,,,,,,,,,,,,,,,,,,,,,,,,
Y32,SYVU,Syringa Vulgaris,230,0.023,13.8,14,yes,0.014957158,203,,,,,,,,,,,,,,,,,,,,,,,,
Y33,SYRE,Syringa Reticulata,360,0.036,20.1,20,yes,0.031730945,209,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACSC,Acer Saccharum,360,0.036,53.2,53,yes,0.22228705,210,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACSA,Acer Saccharinum,360,0.036,58.9,59,yes,0.272471753,211,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACSA,Acer Saccharinum,360,0.036,62.1,62,yes,0.302882441,212,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACSA,Acer Saccharinum,360,0.036,84.7,85,yes,0.563453029,213,,,,,,,,,,,,,,,,,,,,,,,,
Y33,PIPU,Picea Pungens,360,0.036,16.6,17,yes,0.021642482,214,,,,,,,,,,,,,,,,,,,,,,,,
Y33,ACPL,Acer Platanoides,360,0.036,59.2,59,yes,0.275254426,215,,,,,,,,,,,,,,,,,,,,,,,,
Y33,PIPU,Picea Pungens,360,0.036,48.3,48,yes,0.183225181,216,,,,,,,,,,,,,,,,,,,,,,,,
Y33,TACA,Taxus Canadensis,360,0.036,20.4,20,yes,0.032685206,220,,,,,,,,,,,,,,,,,,,,,,,,
Y34,ACSA,Acer Saccharinum,120,0.012,74.2,74,no,0.432412966,221,,,,,,,,,,,,,,,,,,,,,,,,
Y34,THOC,Thuja Occidentalis,120,0.012,12.6,13,no,0.01246901,222,,,,,,,,,,,,,,,,,,,,,,,,
