street code ,common name,scientific name,DBH
S01,Ginkgo,Ginkgo biloba,5
,Silver maple,Acer saccharinum,80
,Silver maple,Acer saccharinum,86
,Norway maple,Acer platanoides,55
,Silver maple,Acer saccharinum,74
,River birch,Betula nigra,8
S02,Skyline honey locust,Gleditsia triacanthos 'Skyline',5
,Prariefire crabapple,Malus x 'Prairifire',5
,Red oak,Quercus rubra,23
,American Hop-Hornbeam Ironwood,Ostrya virginiana,6
,Common hackberry,Celtis occidentalis,8
,Silver maple,Acer saccharinum,70
,Silver maple,Acer saccharinum,98
,Red ash,Fraxinus pennsylvanica,60
,Red ash,Fraxinus pennsylvanica,49
S03,Norway maple,Acer platanoides,40
,Silver maple,Acer saccharinum,69
,Norway maple,Acer platanoides,73
,Blue beech,Carpinus caroliniana,5
,Morton elm,Ulmus x 'Morton',5
S04,Skyline honey locust,Gleditsia triacanthos 'Skyline',23
,Silver maple,Acer saccharinum,81
,Silver maple,Acer saccharinum,74
,Silver maple,Acer saccharinum,84
,Western Catalpa,Catalpa speciosa,5
,Norway maple,Acer platanoides,64
S05,Norway maple,Acer platanoides,38
,Norway maple,Acer platanoides,22
,Ginkgo,Ginkgo biloba,5
,Amelanchier laevis Cumulus,Amelanchier laevis 'Cumulus',5
,Norway maple,Acer platanoides,16
,Aesculus octandra,Aesculus octandra,5
,Silver maple,Acer saccharinum,5
S06,English oak,Quercus robur,5
,European linden,Tilia cordata,53
,Norway maple,Acer platanoides,50
,European linden,Tilia cordata,84
,Common hackberry,Celtis occidentalis,27
,European linden,Tilia cordata,74
S07,Basswood,Tilia americana,54
,Blue spruce,Picea pungens,47
,Silver maple,Acer saccharinum,105
,Silver maple,Acer saccharinum,79
,Silver maple,Acer saccharinum,83
,Silver maple,Acer saccharinum,79
,Silver maple,Acer saccharinum,87
S08,Silver maple,Acer saccharinum,36
,Silver maple,Acer saccharinum,16
,Norway maple,Acer platanoides,72
,Silver maple,Acer saccharinum,6
,Silver maple,Acer saccharinum,5
,Norway maple,Acer platanoides,82
,Norway maple,Acer platanoides,51
,Norway maple,Acer platanoides,77
S09,Betula papyrifera,Betula papyrifera,5
,Norway maple,Acer platanoides,33
,Common hackberry,Celtis occidentalis,7
,Red ash,Fraxinus pennsylvanica,55
,Red ash,Fraxinus pennsylvanica,27
,Manitoba maple,Acer negundo ,22
,Red ash,Fraxinus pennsylvanica,15
,Red ash,Fraxinus pennsylvanica,54
,Red ash,Fraxinus pennsylvanica,80
,Red ash,Fraxinus pennsylvanica,45
,Norther acclaim honey locust,Gleditsia triacanthos 'Northern Acclaim',5
S10,Thornless Honey-Locust,Gleditsia triacanthos var. inermis,56
,Thornless Honey-Locust,Gleditsia triacanthos var. inermis,51
,Norway maple,Acer platanoides,42
,Norway maple,Acer platanoides,20
,Norway maple,Acer platanoides,35
,Silver maple,Acer saccharinum,74
,Silver maple,Acer saccharinum,82
,Ginkgo,Ginkgo biloba,4
,Silver maple,Acer saccharinum,105
S11,Colorado spruce,Picea pungens,12
,Colorado spruce,Picea pungens,12
,White elm,Ulmus americana,79
,Red maple,Acer rubrum,26
,Pioneer elm,Ulmus x hollandica 'Pioneer',5
S12,Silver maple,Acer saccharinum,105
,Silver maple,Acer saccharinum,76
,Silver maple,Acer saccharinum,46
,Silver maple,Acer saccharinum,59
,Silver maple,Acer saccharinum,63
,Silver maple,Acer saccharinum,64
S13,Norway maple,Acer platanoides,71
,Silver maple,Acer saccharinum,18
,Norway maple,Acer platanoides,56
,Common hackberry,Celtis occidentalis,5
,Norway maple,Acer platanoides,66
S14,European linden,Tilia cordata,52
,European linden,Tilia cordata,56
,European linden,Tilia cordata,66
,European linden,Tilia cordata,43
,Norway maple,Acer platanoides,66
,European linden,Tilia cordata,51
,European linden,Tilia cordata,52
,European linden,Tilia cordata,75
,Blue spruce,Picea pungens,44
S15,Silver maple,Acer saccharinum,5
,Red ash,Fraxinus pennsylvanica,13
,European linden,Tilia cordata,47
,Kentucky Coffee Tree,Gymnocladus dioicus,5
,Silver maple,Acer saccharinum,5
,European linden,Tilia cordata,50
,European linden,Tilia cordata,46
S16,Norway maple,Acer platanoides,64
,Norway maple,Acer platanoides,60
,Norway maple,Acer platanoides,60
,Norway maple,Acer platanoides,50
,Norway maple,Acer platanoides,55
,Norway maple,Acer platanoides,50
S17,Silver maple,Acer saccharinum,70
,Norway maple,Acer platanoides,35
,Black maple,Acer nigrum,23
,Silver maple,Acer saccharinum,54
,Silver maple,Acer saccharinum,49
,Silver maple,Acer saccharinum,66
,Ginkgo,Ginkgo biloba,5
S18,Amur maple,Acer ginnala ,5
,Aesculus octandra,Aesculus octandra,15
,Shademaster honey locust,Gleditsia triacanthos 'Shademaster',5
,Blue beech,Carpinus caroliniana,5
,spruce Iseli Fastigiata,Picea pungens Iseli Fastigiata,5
,Silver maple,Acer saccharinum,13
,Pioneer Elm,Ulmus x hollandica 'Pioneer',5
,Tulip Tree,Liriodendron tulipifera,8
S19,European linden,Tilia cordata,9
,Katsura Tree,Cercidiphyllum japonicum,6
,Regal Prince Oak,Quercus x warei 'Regal Prince',6
,Regal Prince Oak,Quercus x warei 'Regal Prince',5
,River Birch,Betula nigra,8
,Red Maple,Acer rubrum,16
,Norway maple,Acer platanoides,47
,Norway maple,Acer platanoides,12
S20,Silver maple,Acer saccharinum,66
,Norway maple,Acer platanoides,18
,Norway maple,Acer platanoides,35
,Norway maple,Acer platanoides,90
,Norway maple,Acer platanoides,54
,Norway maple,Acer platanoides,38
,Silver maple,Acer saccharinum,85
,Silver maple,Acer saccharinum,66
S21,Silver maple,Acer saccharinum,68
,Norway maple,Acer platanoides,62
,Kentucky Coffee Tree,Gymnocladus dioicus,7
,Norway maple,Acer platanoides,15
,Silver maple,Acer saccharinum,5
,Silver maple,Acer saccharinum,7
,Silver maple,Acer saccharinum,67
,Silver maple,Acer saccharinum,65
,European linden,Tilia cordata,57